plantedtiming,location,year,plot,block,Term.Win,cc termination,herbicide,date,ccbiogm2,ccbiokgha,DateHarvested,Yield(bu/ac),yield kgha,
lateplanted,.,2024,104,1,21DAP,14DPP,Residual,,,,,,,
lateplanted,.,2024,105,1,21DAP,1DAP,Ctl,,,,,,,
lateplanted,.,2024,106,1,21DAP,1DAP,Residual,,,,,,,
lateplanted,.,2024,201,2,21DAP,1DAP,Ctl,,,,,,,
lateplanted,.,2024,202,2,21DAP,1DAP,Residual,,,,,,,
lateplanted,.,2024,203,2,21DAP,NoCC,Residual,,,,,,,
lateplanted,.,2024,204,2,21DAP,NoCC,Ctl,,,,,,,
lateplanted,.,2024,205,2,21DAP,14DPP,Residual,,,,,,,
lateplanted,.,2024,206,2,21DAP,14DPP,Ctl,,,,,,,
lateplanted,.,2024,301,3,21DAP,1DAP,Ctl,,,,,,,
lateplanted,.,2024,302,3,21DAP,1DAP,Residual,,,,,,,
lateplanted,.,2024,303,3,21DAP,14DPP,Ctl,,,,,,,
lateplanted,.,2024,304,3,21DAP,14DPP,Residual,,,,,,,
lateplanted,.,2024,305,3,21DAP,NoCC,Ctl,,,,,,,
lateplanted,.,2024,306,3,21DAP,NoCC,Residual,,,,,,,
lateplanted,.,2024,401,4,21DAP,NoCC,Residual,,,,,,,
lateplanted,.,2024,402,4,21DAP,NoCC,Ctl,,,,,,,
lateplanted,.,2024,403,4,21DAP,14DPP,Residual,,,,,,,
lateplanted,.,2024,404,4,21DAP,14DPP,Ctl,,,,,,,
lateplanted,.,2024,405,4,21DAP,1DAP,Residual,,,,,,,
lateplanted,.,2024,406,4,21DAP,1DAP,Ctl,,,,,,,
lateplanted,.,2024,101,1,21DAP,NoCC,Ctl,,,,,,,
lateplanted,.,2024,102,1,21DAP,NoCC,Residual,,,,,,,
lateplanted,.,2024,103,1,21DAP,14DPP,Ctl,,,,,,,
lateplanted,.,2024,104,1,21DAP,14DPP,Residual,,,,,,,
lateplanted,.,2024,105,1,21DAP,1DAP,Ctl,,,,,,,
lateplanted,.,2024,106,1,21DAP,1DAP,Residual,,,,,,,
lateplanted,.,2024,201,2,21DAP,1DAP,Ctl,,,,,,,
lateplanted,.,2024,202,2,21DAP,1DAP,Residual,,,,,,,
lateplanted,.,2024,203,2,21DAP,NoCC,Residual,,,,,,,
lateplanted,.,2024,204,2,21DAP,NoCC,Ctl,,,,,,,
lateplanted,.,2024,205,2,21DAP,14DPP,Residual,,,,,,,
lateplanted,.,2024,206,2,21DAP,14DPP,Ctl,,,,,,,
lateplanted,.,2024,301,3,21DAP,1DAP,Ctl,,,,,,,
lateplanted,.,2024,302,3,21DAP,1DAP,Residual,,,,,,,
lateplanted,.,2024,303,3,21DAP,14DPP,Ctl,,,,,,,
lateplanted,.,2024,304,3,21DAP,14DPP,Residual,,,,,,,
lateplanted,.,2024,305,3,21DAP,NoCC,Ctl,,,,,,,
lateplanted,.,2024,306,3,21DAP,NoCC,Residual,,,,,,,
lateplanted,.,2024,401,4,21DAP,NoCC,Residual,,,,,,,
lateplanted,.,2024,402,4,21DAP,NoCC,Ctl,,,,,,,
lateplanted,.,2024,403,4,21DAP,14DPP,Residual,,,,,,,
lateplanted,.,2024,404,4,21DAP,14DPP,Ctl,,,,,,,
lateplanted,.,2024,405,4,21DAP,1DAP,Residual,,,,,,,
lateplanted,.,2024,406,4,21DAP,1DAP,Ctl,,,,,,,
lateplanted,.,2024,101,1,21DAP,NoCC,Ctl,,,,,,,
lateplanted,.,2024,102,1,21DAP,NoCC,Residual,,,,,,,
lateplanted,.,2024,103,1,21DAP,14DPP,Ctl,,,,,,,
lateplanted,.,2024,104,1,21DAP,14DPP,Residual,,,,,,,
lateplanted,.,2024,105,1,21DAP,1DAP,Ctl,,,,,,,
lateplanted,.,2024,106,1,21DAP,1DAP,Residual,,,,,,,
lateplanted,.,2024,201,2,21DAP,1DAP,Ctl,,,,,,,
lateplanted,.,2024,202,2,21DAP,1DAP,Residual,,,,,,,
lateplanted,.,2024,203,2,21DAP,NoCC,Residual,,,,,,,
lateplanted,.,2024,204,2,21DAP,NoCC,Ctl,,,,,,,
lateplanted,.,2024,205,2,21DAP,14DPP,Residual,,,,,,,
lateplanted,.,2024,206,2,21DAP,14DPP,Ctl,,,,,,,
lateplanted,.,2024,301,3,21DAP,1DAP,Ctl,,,,,,,
lateplanted,.,2024,302,3,21DAP,1DAP,Residual,,,,,,,
lateplanted,.,2024,303,3,21DAP,14DPP,Ctl,,,,,,,
lateplanted,.,2024,304,3,21DAP,14DPP,Residual,,,,,,,
lateplanted,.,2024,305,3,21DAP,NoCC,Ctl,,,,,,,
lateplanted,.,2024,306,3,21DAP,NoCC,Residual,,,,,,,
lateplanted,.,2024,401,4,21DAP,NoCC,Residual,,,,,,,
lateplanted,.,2024,402,4,21DAP,NoCC,Ctl,,,,,,,
lateplanted,.,2024,403,4,21DAP,14DPP,Residual,,,,,,,
lateplanted,.,2024,404,4,21DAP,14DPP,Ctl,,,,,,,
lateplanted,.,2024,405,4,21DAP,1DAP,Residual,,,,,,,
lateplanted,.,2024,406,4,21DAP,1DAP,Ctl,,,,,,,
lateplanted,.,2024,101,1,21DAP,NoCC,Ctl,,,,,,,
lateplanted,.,2024,102,1,21DAP,NoCC,Residual,,,,,,,
lateplanted,.,2024,103,1,21DAP,14DPP,Ctl,,,,,,,
lateplanted,.,2024,104,1,21DAP,14DPP,Residual,,,,,,,
lateplanted,.,2024,105,1,21DAP,1DAP,Ctl,,,,,,,
lateplanted,.,2024,106,1,21DAP,1DAP,Residual,,,,,,,
lateplanted,.,2024,201,2,21DAP,1DAP,Ctl,,,,,,,
lateplanted,.,2024,202,2,21DAP,1DAP,Residual,,,,,,,
lateplanted,.,2024,203,2,21DAP,NoCC,Residual,,,,,,,
lateplanted,.,2024,204,2,21DAP,NoCC,Ctl,,,,,,,
lateplanted,.,2024,205,2,21DAP,14DPP,Residual,,,,,,,
lateplanted,.,2024,206,2,21DAP,14DPP,Ctl,,,,,,,
lateplanted,.,2024,301,3,21DAP,1DAP,Ctl,,,,,,,
lateplanted,.,2024,302,3,21DAP,1DAP,Residual,,,,,,,
lateplanted,.,2024,303,3,21DAP,14DPP,Ctl,,,,,,,
lateplanted,.,2024,304,3,21DAP,14DPP,Residual,,,,,,,
lateplanted,.,2024,305,3,21DAP,NoCC,Ctl,,,,,,,
lateplanted,.,2024,306,3,21DAP,NoCC,Residual,,,,,,,
lateplanted,.,2024,401,4,21DAP,NoCC,Residual,,,,,,,
lateplanted,.,2024,402,4,21DAP,NoCC,Ctl,,,,,,,
lateplanted,.,2024,403,4,21DAP,14DPP,Residual,,,,,,,
lateplanted,.,2024,404,4,21DAP,14DPP,Ctl,,,,,,,
lateplanted,.,2024,405,4,21DAP,1DAP,Residual,,,,,,,
lateplanted,.,2024,406,4,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,.,2024,101,1,21DAP,NoCC,Ctl,,,,,18.23,1226,
earlyplanted,.,2024,102,1,21DAP,NoCC,Residual,,,,,17.92,1205,
earlyplanted,.,2024,103,1,21DAP,14DPP,Ctl,,251,2510,,16.93,1138,
earlyplanted,.,2024,104,1,21DAP,14DPP,Residual,,252,2520,,14.93,1004,
earlyplanted,.,2024,105,1,21DAP,1DAP,Ctl,,229,2290,,15.22,1024,
earlyplanted,.,2024,106,1,21DAP,1DAP,Residual,,288,2880,,17.11,1151,
earlyplanted,.,2024,201,2,21DAP,1DAP,Ctl,,231,2310,,20.43,1374,
earlyplanted,.,2024,202,2,21DAP,1DAP,Residual,,238,2380,,19.41,1306,
earlyplanted,.,2024,203,2,21DAP,14DPP,Ctl,,249,2490,,21.07,1417,
earlyplanted,.,2024,204,2,21DAP,14DPP,Residual,,338,3380,,20.59,1385,
earlyplanted,.,2024,205,2,21DAP,NoCC,Ctl,,,,,24.77,1666,
earlyplanted,.,2024,206,2,21DAP,NoCC,Residual,,,,,20,1345,
earlyplanted,.,2024,301,3,21DAP,NoCC,Residual,,,,,18.92,1272,
earlyplanted,.,2024,302,3,21DAP,NoCC,Ctl,,,,,25.83,1737,
earlyplanted,.,2024,303,3,21DAP,1DAP,Residual,,194,1940,,22.3,1500,
earlyplanted,.,2024,304,3,21DAP,1DAP,Ctl,,300,3000,,21.38,1438,
earlyplanted,.,2024,305,3,21DAP,14DPP,Residual,,192,1920,,25.79,1734,
earlyplanted,.,2024,306,3,21DAP,14DPP,Ctl,,273,2730,,21.59,1452,
earlyplanted,.,2024,401,4,21DAP,14DPP,Ctl,,235,2350,,24.8,1668,
earlyplanted,.,2024,402,4,21DAP,14DPP,Residual,,148,1480,,21.21,1426,
earlyplanted,.,2024,403,4,21DAP,1DAP,Ctl,,156,1560,,27.5,1850,
earlyplanted,.,2024,404,4,21DAP,1DAP,Residual,,227,2270,,25.91,1743,
earlyplanted,.,2024,405,4,21DAP,NoCC,Ctl,,,,,28.86,1941,
earlyplanted,.,2024,406,4,21DAP,NoCC,Residual,,,,,30.95,2081,
earlyplanted,.,2024,101,1,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,.,2024,102,1,21DAP,NoCC,Residual,,,,,,,
earlyplanted,.,2024,103,1,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,.,2024,104,1,21DAP,14DPP,Residual,,,,,,,
earlyplanted,.,2024,105,1,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,.,2024,106,1,21DAP,1DAP,Residual,,,,,,,
earlyplanted,.,2024,201,2,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,.,2024,202,2,21DAP,1DAP,Residual,,,,,,,
earlyplanted,.,2024,203,2,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,.,2024,204,2,21DAP,14DPP,Residual,,,,,,,
earlyplanted,.,2024,205,2,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,.,2024,206,2,21DAP,NoCC,Residual,,,,,,,
earlyplanted,.,2024,301,3,21DAP,NoCC,Residual,,,,,,,
earlyplanted,.,2024,302,3,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,.,2024,303,3,21DAP,1DAP,Residual,,,,,,,
earlyplanted,.,2024,304,3,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,.,2024,305,3,21DAP,14DPP,Residual,,,,,,,
earlyplanted,.,2024,306,3,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,.,2024,401,4,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,.,2024,402,4,21DAP,14DPP,Residual,,,,,,,
earlyplanted,.,2024,403,4,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,.,2024,404,4,21DAP,1DAP,Residual,,,,,,,
earlyplanted,.,2024,405,4,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,.,2024,406,4,21DAP,NoCC,Residual,,,,,,,
earlyplanted,.,2024,101,1,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,.,2024,102,1,21DAP,NoCC,Residual,,,,,,,
earlyplanted,.,2024,103,1,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,.,2024,104,1,21DAP,14DPP,Residual,,,,,,,
earlyplanted,.,2024,105,1,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,.,2024,106,1,21DAP,1DAP,Residual,,,,,,,
earlyplanted,.,2024,201,2,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,.,2024,202,2,21DAP,1DAP,Residual,,,,,,,
earlyplanted,.,2024,203,2,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,.,2024,204,2,21DAP,14DPP,Residual,,,,,,,
earlyplanted,.,2024,205,2,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,.,2024,206,2,21DAP,NoCC,Residual,,,,,,,
earlyplanted,.,2024,301,3,21DAP,NoCC,Residual,,,,,,,
earlyplanted,.,2024,302,3,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,.,2024,303,3,21DAP,1DAP,Residual,,,,,,,
earlyplanted,.,2024,304,3,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,.,2024,305,3,21DAP,14DPP,Residual,,,,,,,
earlyplanted,.,2024,306,3,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,.,2024,401,4,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,.,2024,402,4,21DAP,14DPP,Residual,,,,,,,
earlyplanted,.,2024,403,4,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,.,2024,404,4,21DAP,1DAP,Residual,,,,,,,
earlyplanted,.,2024,405,4,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,.,2024,406,4,21DAP,NoCC,Residual,,,,,,,
earlyplanted,.,2024,101,1,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,.,2024,102,1,21DAP,NoCC,Residual,,,,,,,
earlyplanted,.,2024,103,1,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,.,2024,104,1,21DAP,14DPP,Residual,,,,,,,
earlyplanted,.,2024,105,1,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,.,2024,106,1,21DAP,1DAP,Residual,,,,,,,
earlyplanted,.,2024,201,2,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,.,2024,202,2,21DAP,1DAP,Residual,,,,,,,
earlyplanted,.,2024,203,2,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,.,2024,204,2,21DAP,14DPP,Residual,,,,,,,
earlyplanted,.,2024,205,2,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,.,2024,206,2,21DAP,NoCC,Residual,,,,,,,
earlyplanted,.,2024,301,3,21DAP,NoCC,Residual,,,,,,,
earlyplanted,.,2024,302,3,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,.,2024,303,3,21DAP,1DAP,Residual,,,,,,,
earlyplanted,.,2024,304,3,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,.,2024,305,3,21DAP,14DPP,Residual,,,,,,,
earlyplanted,.,2024,306,3,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,.,2024,401,4,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,.,2024,402,4,21DAP,14DPP,Residual,,,,,,,
earlyplanted,.,2024,403,4,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,.,2024,404,4,21DAP,1DAP,Residual,,,,,,,
earlyplanted,.,2024,405,4,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,.,2024,406,4,21DAP,NoCC,Residual,,,,,,,
earlyplanted,.,2024,101,1,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,.,2024,102,1,21DAP,NoCC,Residual,,,,,,,
earlyplanted,.,2024,103,1,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,.,2024,104,1,21DAP,14DPP,Residual,,,,,,,
earlyplanted,.,2024,105,1,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,.,2024,106,1,21DAP,1DAP,Residual,,,,,,,
earlyplanted,.,2024,201,2,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,.,2024,202,2,21DAP,1DAP,Residual,,,,,,,
earlyplanted,.,2024,203,2,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,.,2024,204,2,21DAP,14DPP,Residual,,,,,,,
earlyplanted,.,2024,205,2,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,.,2024,206,2,21DAP,NoCC,Residual,,,,,,,
earlyplanted,.,2024,301,3,21DAP,NoCC,Residual,,,,,,,
earlyplanted,.,2024,302,3,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,.,2024,303,3,21DAP,1DAP,Residual,,,,,,,
earlyplanted,.,2024,304,3,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,.,2024,305,3,21DAP,14DPP,Residual,,,,,,,
earlyplanted,.,2024,306,3,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,.,2024,401,4,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,.,2024,402,4,21DAP,14DPP,Residual,,,,,,,
earlyplanted,.,2024,403,4,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,.,2024,404,4,21DAP,1DAP,Residual,,,,,,,
earlyplanted,.,2024,405,4,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,.,2024,406,4,21DAP,NoCC,Residual,,,,,,,
earlyplanted,.,2024,101,1,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,.,2024,102,1,21DAP,NoCC,Residual,,,,,,,
earlyplanted,.,2024,103,1,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,.,2024,104,1,21DAP,14DPP,Residual,,,,,,,
earlyplanted,.,2024,105,1,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,.,2024,106,1,21DAP,1DAP,Residual,,,,,,,
earlyplanted,.,2024,201,2,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,.,2024,202,2,21DAP,1DAP,Residual,,,,,,,
earlyplanted,.,2024,203,2,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,.,2024,204,2,21DAP,14DPP,Residual,,,,,,,
earlyplanted,.,2024,205,2,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,.,2024,206,2,21DAP,NoCC,Residual,,,,,,,
earlyplanted,.,2024,301,3,21DAP,NoCC,Residual,,,,,,,
earlyplanted,.,2024,302,3,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,.,2024,303,3,21DAP,1DAP,Residual,,,,,,,
earlyplanted,.,2024,304,3,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,.,2024,305,3,21DAP,14DPP,Residual,,,,,,,
earlyplanted,.,2024,306,3,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,.,2024,401,4,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,.,2024,402,4,21DAP,14DPP,Residual,,,,,,,
earlyplanted,.,2024,403,4,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,.,2024,404,4,21DAP,1DAP,Residual,,,,,,,
earlyplanted,.,2024,405,4,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,.,2024,406,4,21DAP,NoCC,Residual,,,,,,,
